id,title,media_type,source,date,url,description,keyword,likes,comment,transpond,author,timestamp
7410763983038254374,WTT中国大满贯莎头没有参混双，这对组合要退出历史舞台了吗？ #莎头 #孙颖莎 #王楚钦 #国乒 #wtt中国大满贯,视频,抖音,2024-09-04 20:29:39,https://www.douyin.com/video/7410763983038254374,WTT中国大满贯莎头没有参混双，这对组合要退出历史舞台了吗？ #莎头 #孙颖莎 #王楚钦 #国乒 #wtt中国大满贯,奥运会,912,89,18,娱多,1725452979,1725516191
7170624503075048712,1992巴塞罗那奥运会开幕式 #换个角度看世界 #病毒 #新冠病毒 #疫苗 #核废水,视频,抖音,2024-09-04 14:39:04,https://www.douyin.com/video/7170624503075048712,1992巴塞罗那奥运会开幕式 #换个角度看世界 #病毒 #新冠病毒 #疫苗 #核废水,奥运会,93,11,22,欢迎来到我的梦,1725431944,1725516191
7410723641119231295,重温经典粤圆之夜，龙胖大战！ #奥运会 #国乒 #樊振东 #马龙 #粤圆之夜,视频,抖音,2024-09-04 17:52:49,https://www.douyin.com/video/7410723641119231295,重温经典粤圆之夜，龙胖大战！ #奥运会 #国乒 #樊振东 #马龙 #粤圆之夜,奥运会,8749,800,434,体育特攻,1725443569,1725516191
7410964727897099539,从历经三届奥运会的运动员，到带领中国男团在巴黎奥运会摘金的教练员——看王皓诠释逐梦与热爱，谈中国乒乓球的传承与未来。《论道平常心》对话中国乒乓球男队主教练王皓即将上线。#论道平常心 #王皓 #竹叶青茶 （推广）,视频,抖音,2024-09-05 09:28:36,https://www.douyin.com/video/7410964727897099539,从历经三届奥运会的运动员，到带领中国男团在巴黎奥运会摘金的教练员——看王皓诠释逐梦与热爱，谈中国乒乓球的传承与未来。《论道平常心》对话中国乒乓球男队主教练王皓即将上线。#论道平常心 #王皓 #竹叶青茶 （推广）,奥运会,265,13,5,新华网,1725499716,1725516191
7410985456344501545,沉浸式体验日本足球文化，确实遥遥领先😭#国足 #国足世预赛 #日本 #足球 #xbotgo,视频,抖音,2024-09-05 10:48:45,https://www.douyin.com/video/7410985456344501545,沉浸式体验日本足球文化，确实遥遥领先😭#国足 #国足世预赛 #日本 #足球 #xbotgo,奥运会,162,32,10,杜兜,1725504525,1725516191
7410821713581133092,"有人想看振东球迷的巴黎流水账吗🥹
#樊振东 #巴黎奥运会",视频,抖音,2024-09-05 00:13:32,https://www.douyin.com/video/7410821713581133092,"有人想看振东球迷的巴黎流水账吗🥹
#樊振东 #巴黎奥运会",奥运会,1191,203,82,廖粒粒皆辛苦,1725466412,1725516191
7398105479962037504,中国崛起 哪有什么岁月静好，只不过是有人在替我们负重前行罢了！ #国之脊梁#国士无双#爱国教育#致敬先辈#祖国万岁,视频,抖音,2024-09-05 10:56:56,https://www.douyin.com/video/7398105479962037504,中国崛起 哪有什么岁月静好，只不过是有人在替我们负重前行罢了！ #国之脊梁#国士无双#爱国教育#致敬先辈#祖国万岁,奥运会,137,7,3,大城小事,1725505016,1725516191
7409555731101355299,他们是残缺的玉，而我是完整的粑粑#娱乐评论大赏 #体育精神 #运动会名场面 #射箭,视频,抖音,2024-09-04 15:04:40,https://www.douyin.com/video/7409555731101355299,他们是残缺的玉，而我是完整的粑粑#娱乐评论大赏 #体育精神 #运动会名场面 #射箭,奥运会,398,9,87,娱乐冲浪指南,1725433480,1725516191
7410690549302218019,国外竟连空调都装不起，生在中国实在太幸福#大国崛起 ,视频,抖音,2024-09-04 15:44:17,https://www.douyin.com/video/7410690549302218019,国外竟连空调都装不起，生在中国实在太幸福#大国崛起 ,奥运会,1765,45,112,商业定位牛,1725435857,1725516191
7410678784354946314,#AI扩图 东京奥运会#陈梦拿到单冠军后，因说了一句#我的时代来了，前前后后被骂了三年#冠军背后的心酸,笔记,抖音,2024-09-04 14:58:47,https://www.douyin.com/video/7410678784354946314,#AI扩图 东京奥运会#陈梦拿到单冠军后，因说了一句#我的时代来了，前前后后被骂了三年#冠军背后的心酸,奥运会,2618,2176,19,中午吃什么菜,1725433127,1725516191
